c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1r,s2r,s3r,s4r,s5r,s6r,s7r,s8r,s9r,s10r,s1ts,s2ts,s3ts,s4ts,s5ts,s6ts,s7ts,s8ts,s9ts,s10ts,result,gamemode
60,54,235,245,76,126,78,134,360,115,2444,2008,1887,1000,2618,2439,2475,2494,2437,2454,-50,-90,-90,-90,-90,90,-30,-30,10,30,False,ARAM

31,30,432,84,254,39,161,267,98,147,2363,2289,2152,2567,2420,2448,2460,2439,2421,2490,90,50,50,50,-50,-90,-10,90,-50,-10,False,ARAM

103,39,33,38,53,235,75,67,150,497,2379,2494,1000,2384,2439,2420,2341,2386,2437,2345,-50,-50,-50,90,90,-50,50,-10,-90,-10,True,ARAM

84,67,50,111,127,43,57,64,59,21,2420,2427,2452,2443,2422,2462,2439,2228,1000,2427,-50,50,30,-30,-10,30,90,-90,-90,-30,True,ARAM

53,61,235,18,131,163,41,9,67,48,1990,2870,2449,1000,1000,2420,2434,2428,2427,2439,90,90,30,-10,-10,-50,10,90,-30,90,True,ARAM

117,110,17,84,350,429,8,67,72,26,1970,2061,1000,2516,1000,1898,1945,1631,1621,2161,-50,50,50,10,50,-90,-90,-30,-30,-50,True,ARAM

240,68,28,111,76,103,131,8,117,51,1936,1000,1000,1665,1723,1744,1711,1000,1905,1717,10,50,50,-10,-30,90,30,-10,50,50,True,ARAM

9,121,11,4,266,75,245,51,61,26,1719,1936,1000,1000,1692,1733,1720,1735,1740,1725,50,10,50,50,-90,10,30,50,10,-30,True,ARAM

412,432,99,498,142,61,18,82,67,98,1881,2516,1000,2061,1000,2240,1451,2010,1952,1969,10,10,50,50,50,-50,-50,-30,30,-30,True,ARAM

99,202,21,22,50,68,238,122,236,53,2036,2055,1905,2014,2040,2033,2067,2042,1000,1994,50,50,50,10,90,10,50,-50,50,-90,True,ARAM

42,114,62,36,61,145,22,111,98,13,1896,1935,2193,1000,1905,1945,2288,1580,1928,2154,50,50,50,-10,50,30,50,-50,-30,-10,True,ARAM

69,41,89,161,15,202,777,101,498,17,2028,1987,2008,1983,1958,1905,2023,2050,1977,2052,-30,-10,-50,10,-90,50,-50,-10,-10,10,False,ARAM

254,63,12,59,42,29,21,55,34,67,2011,1989,2408,1000,1905,2099,2018,1732,1000,2117,-30,-10,-50,-10,50,90,-30,30,-30,90,False,ARAM

145,68,117,110,67,84,111,112,518,420,2061,2516,1000,2094,2039,1294,2072,2032,1880,1917,50,10,50,30,90,-90,-90,-50,-30,-30,False,ARAM

777,10,526,30,48,235,246,13,80,53,1936,2061,2516,1000,2096,2134,2483,1996,918,1784,10,50,10,50,10,50,-90,-90,50,-90,False,ARAM

235,145,9,64,105,45,55,57,62,104,2038,2180,2173,1000,1678,2115,1936,2516,1000,1000,50,30,10,50,10,-10,10,10,30,50,True,ARAM

84,145,58,104,518,98,26,134,5,40,1627,1000,1000,1877,1828,1862,1801,1876,2178,1000,50,50,50,50,30,-30,10,50,-50,-50,True,ARAM

110,421,112,245,30,16,145,13,75,161,1000,1000,1000,1674,1623,1627,1000,1000,1877,1866,-30,-90,-90,-50,-50,50,50,50,50,30,False,ARAM

9,517,57,99,56,67,30,875,235,117,1822,1784,1818,1753,1856,1764,1860,1000,2063,1788,-30,90,-30,-10,-10,10,-10,-30,10,-30,True,ARAM

34,131,13,432,63,17,887,238,236,103,1000,2063,1788,1738,1787,2028,1677,1000,1694,1931,-30,10,-30,90,90,-90,-90,-10,-10,-10,True,ARAM

64,266,235,43,36,74,245,21,54,222,1000,1788,1987,1000,1000,1897,2189,1901,1817,1913,-30,-30,-90,-90,-90,50,30,30,30,-10,False,ARAM

54,163,78,111,17,8,12,51,81,104,1000,1788,1987,1000,1000,2331,1000,1655,2241,1915,-30,-30,-90,-90,-90,90,90,20,90,90,False,ARAM

67,31,107,45,74,85,96,1,147,99,1842,1852,1799,1842,1881,1000,1788,1000,1000,1840,90,30,-30,30,30,-30,-30,-90,-90,-90,True,ARAM

17,79,50,432,3,75,19,99,80,145,2024,2048,2063,1788,1000,2015,1952,1858,1718,2061,10,-50,10,-30,-90,10,10,30,90,10,True,ARAM

150,28,103,21,432,75,5,517,96,99,1788,1002,1820,1000,1000,1000,1596,1130,1472,1508,-30,-50,10,10,-90,90,50,90,-30,-50,False,ranked

122,5,103,202,235,150,154,101,18,43,1488,1000,1610,1820,1000,2769,1636,1743,1000,1683,-10,90,90,10,-90,-10,-10,-10,-90,-50,True,ranked

83,79,238,222,26,39,64,13,45,223,1587,1000,564,1000,1866,1748,1000,1877,1368,1678,90,90,10,50,-30,-50,50,50,50,10,True,ranked

10,19,246,119,235,223,35,238,360,45,853,562,642,591,562,522,588,564,529,553,50,30,90,30,-10,-90,-50,10,-30,-90,True,ranked

54,33,84,360,12,83,5,238,222,26,1765,1735,1530,1570,1524,1587,1000,564,1513,1700,-90,-90,30,-30,30,90,90,10,90,90,False,ranked

58,254,8,222,111,98,64,157,67,34,1587,1000,564,1945,1413,1390,2257,1875,1474,1000,90,90,10,-10,50,-50,50,10,50,-50,True,ranked

83,254,8,360,111,80,5,1,18,53,1587,1000,564,1000,1413,1000,1000,1000,1919,1000,90,90,10,50,50,-30,-30,-30,-30,-30,True,ranked

